Date,ALM,Kobond,Gobond,AI,Re_ko,Re_go,Stock,GLD
2011-01-31,99.03336725,98.98942117,98.59773019,100.5654021,100.4382581,101.5549817,100.5447652,129.87
2011-02-28,99.84311709,99.88720298,99.20562736,101.0835262,99.19511652,102.7560099,97.94350766,137.66
2011-03-31,102.3069612,102.3812604,98.99193577,101.180156,101.6555407,103.3865731,102.508412,139.86
2011-04-30,102.4473747,102.6955301,100.7465815,102.3442204,100.6447644,104.961,104.1859286,152.37
2011-05-31,105.5515147,105.9397297,102.6099124,103.2613612,98.57163485,106.0621185,101.2314277,149.64
2011-06-30,105.9078786,106.1482544,101.8365057,102.8843747,98.3336392,105.37629,99.6204425,146
2011-07-31,108.0953595,108.1076624,104.2628592,103.9494025,104.3025551,106.9990139,103.009968,158.29
2011-08-31,112.8552082,111.3907213,106.8156657,104.6153158,100.900186,104.0628349,94.19859026,177.72
2011-09-30,111.2528816,109.8324722,110.326441,104.9700282,96.83887278,101.7163857,87.68367179,158.06
2011-10-31,111.9692731,110.8735364,109.4862303,105.7169042,101.6082297,106.5735669,95.82616893,167.34
2011-11-30,113.2379906,112.5703364,108.9817301,106.1614592,102.4336752,105.0231194,94.70905418,170.13
2011-12-31,113.31568,113.0997824,112.5570408,106.8895197,103.4984863,107.6076148,95.00656278,151.99
2012-01-31,114.5923735,114.2110191,113.8130453,107.8741148,105.3141484,110.3934547,99.75379096,169.31
2012-02-29,114.9082437,114.4807366,114.1596345,108.5552658,108.468259,112.9951634,104.1622837,164.29
2012-03-31,114.1305011,114.2878842,113.2600103,108.4468026,106.4746605,112.6259058,103.4748957,162.12
2012-04-30,116.0972296,116.5180055,114.7467215,109.2874819,102.6402635,114.0136147,100.1509363,161.88
2012-05-31,117.9517984,118.4098922,119.0061044,109.8993831,102.311237,113.2337448,95.05317034,151.62
2012-06-30,118.9654587,118.8046009,117.7515984,110.3103568,104.4588467,115.5525034,97.50292091,155.19
2012-07-31,126.766737,126.8921272,121.468969,111.8229822,102.7767672,118.0321078,97.17314983,156.49
2012-08-31,129.3567677,130.4165159,121.3392033,112.133998,107.489106,119.3959172,100.7492069,164.22
2012-09-30,129.9670365,131.2955087,121.7891398,112.7890235,109.3385061,120.9027872,104.3546633,171.89
2012-10-31,130.8131817,132.4371953,122.4571934,113.5979334,108.0614307,122.2965497,101.0973127,166.83
2012-11-30,129.7413854,131.4794339,123.81341,113.7834313,107.3707326,123.1720934,101.1238751,166.05
2012-12-31,127.5151149,129.1342437,123.7562099,113.9264833,107.2918139,124.609086,102.5220442,162.02
2013-01-31,129.0454236,130.8745545,122.0440692,113.6737905,108.4175791,125.7935298,103.783098,161.2
2013-02-28,131.2627039,133.3783197,123.4455804,114.133715,112.1663077,126.3772977,107.4904044,153
2013-03-31,134.0331589,136.2708752,125.4537421,114.3828275,114.2901472,127.4183179,108.9530243,154.47
2013-04-30,134.3891364,136.7412668,128.9291194,115.5918644,115.6061743,129.8654482,109.6130398,142.77
2013-05-31,129.6342485,131.8713694,124.4890006,114.3299101,117.0473701,128.7698349,111.9763276,133.92
2013-06-30,125.497771,126.6338354,120.8466856,112.8432559,111.2039866,125.3172663,105.0046161,119.11
2013-07-31,124.2729556,125.6313254,121.3192909,113.5331697,115.283495,127.4225379,109.8599142,127.96
2013-08-31,123.7470411,125.6909277,120.5929609,113.2531948,111.6631142,126.4770675,106.8683195,134.62
2013-09-30,125.8455035,127.826593,122.1437996,113.7699696,113.9404289,127.8477873,110.532619,128.18
2013-10-31,126.027977,127.8306231,124.3246762,114.709456,114.0080234,131.2765743,112.6032964,127.74
2013-11-30,122.5454359,124.3569136,123.4728961,114.7269197,112.5413056,131.675823,112.9071062,120.7
2013-12-31,124.7917082,126.5654004,122.5366862,114.6908362,110.9930842,132.2763552,111.8367121,116.12
2014-01-31,124.2973318,126.6073905,126.392584,115.9340309,112.9607521,133.3371502,110.0831103,120.09
2014-02-28,126.5773501,129.0235692,127.6939296,116.6183221,114.7818543,136.4519041,113.2883948,127.62
2014-03-31,126.8872728,129.1918174,128.3204757,116.8885011,115.082295,136.7716743,114.4998644,123.61
2014-04-30,127.4058737,129.6536556,130.2072245,117.6991728,117.2424476,137.942628,115.2961295,124.22
2014-05-31,131.4225812,133.4648112,132.6632697,118.6761563,116.2466988,139.5739974,116.0171059,120.43
2014-06-30,134.3859902,136.3025253,133.6232616,118.9301037,115.3764304,140.7925318,116.2666656,128.04
2014-07-31,136.3355111,137.9487133,135.0574979,119.0830975,115.7403474,139.1068,117.4162215,123.39
2014-08-31,137.3333645,138.9688368,139.3872292,119.9567067,119.68972,141.8546713,120.7709759,123.86
2014-09-30,140.9798606,142.6705818,138.185264,119.423401,120.408844,139.2316483,119.2779404,116.21
2014-10-31,144.5107403,146.2058524,140.2339261,120.2040597,119.2746739,142.179298,117.9097655,112.66
2014-11-30,145.6821736,147.3778135,143.7682647,120.8074414,118.1339508,141.5425052,118.3104891,112.11
2014-12-31,145.9015116,147.2411756,146.8449061,120.8370747,118.168188,140.7213763,116.4946228,113.58
2015-01-31,154.0330664,155.2416042,154.1696403,122.8473311,123.7653801,142.6143887,119.2975734,123.45
2015-02-28,151.6117169,153.2607075,151.1092697,122.4027244,127.4540163,145.344095,124.1595384,116.16
2015-03-31,155.6064216,157.0280118,153.5067805,122.7026482,130.5393206,144.7395396,126.4541465,113.66
2015-04-30,150.2075397,152.1878475,150.34457,122.4684097,134.4316737,146.083688,131.1744995,113.47
2015-05-31,153.0797706,154.1437743,147.9927711,122.2249617,137.0081471,146.4843187,132.5916462,114.1
2015-06-30,150.4812741,151.7226249,143.2337704,121.2657735,140.3793562,144.381706,132.4455386,112.37
2015-07-31,151.5779917,152.7217152,146.8415589,121.8448529,138.7910015,144.7147013,131.2305664,104.93
2015-08-31,155.0182177,156.0337169,145.6298558,121.3547785,135.5810651,142.9405269,124.5283663,108.82
2015-09-30,160.5573545,160.723839,147.3276389,121.9255994,135.0989253,140.0127121,123.7182723,106.86
2015-10-31,160.8359324,160.9238167,148.3485152,122.1099576,135.8479178,144.6899686,128.7464786,109.3
2015-11-30,158.0867143,158.2770173,148.5325785,121.7642854,136.1510935,142.5666526,128.1424361,101.92
2015-12-31,162.4111712,162.3169865,147.8910613,121.1887223,135.6276512,139.9221702,126.4286217,101.46
2016-01-31,165.0380664,164.9251453,152.4239635,121.7173908,136.102584,138.6849384,123.3183768,106.95
2016-02-29,170.1099215,169.620477,156.2756737,122.5057808,133.2283895,140.528563,121.6886179,118.64
2016-03-31,169.7981704,169.8580251,159.6367296,124.3260367,137.2504012,145.3986612,128.1860682,117.64
2016-04-30,170.160192,170.7017313,160.2583389,125.4699751,138.6304876,149.1624497,128.9033894,123.65
2016-05-31,170.1688578,171.0132461,162.205622,125.6263388,138.7907829,149.6783466,129.1697009,116.06
2016-06-30,179.0185221,178.9836519,170.055746,127.4535949,137.0218199,150.7113646,127.5876764,126.47
2016-07-31,181.7990505,181.5029574,172.3757248,128.3725583,140.4644261,154.4702971,131.9256407,128.98
2016-08-31,180.26681,179.9078512,172.1197494,128.7357219,136.4362445,156.7556683,129.9412878,124.78
2016-09-30,182.085625,181.3543705,170.8629675,128.6857214,138.5455815,157.2962372,131.1956397,125.64
2016-10-31,174.949495,175.1229153,166.2284072,128.3323451,132.7979243,157.5967219,126.217815,121.94
2016-11-30,165.2362917,166.0761495,160.6083417,126.7070276,129.8968396,156.0984058,125.1700983,111.75
2016-12-31,165.2703619,166.3990971,161.1642965,127.1658777,133.5803343,157.9285836,129.1829393,109.61
2017-01-31,164.743102,166.0387937,158.7318468,127.7918926,132.4018791,159.6275656,129.9772608,115.55
2017-02-28,164.8488244,166.1356883,161.6144744,128.3978823,132.3434351,161.3146881,131.777423,119.23
2017-03-31,162.7684665,164.4167049,161.1217734,128.356602,133.4582797,161.0223219,133.9619889,118.72
2017-04-30,163.3175843,164.890669,162.978862,129.168009,134.7890499,163.15514,136.0569714,120.77
2017-05-31,162.8881262,164.4457157,164.6018173,130.0600755,137.7200159,164.4543493,141.5742108,120.62
2017-06-30,164.4299571,165.8641241,163.9518782,130.2397827,139.8688962,165.1684976,143.9725488,118.02
2017-07-31,164.9478888,166.6939269,164.1143778,130.8819716,138.3078126,166.7787081,143.8694534,120.75
2017-08-31,164.1439346,165.9547783,167.1331413,131.6962337,139.428366,167.1619979,143.456839,125.82
2017-09-30,163.6444111,165.2139637,165.1964583,131.4905947,139.1940431,168.3156075,144.730553,121.58
2017-10-31,159.4636382,160.2517402,166.6429587,131.9969328,143.853975,168.8917617,151.5668559,120.67
2017-11-30,162.36542,163.448434,167.7884423,131.9779289,152.1187325,168.7325977,156.643229,121.1
2017-12-31,162.3846975,163.5074512,168.9129843,132.5999325,155.2378777,168.8381324,158.5933833,123.65
2018-01-31,156.7310619,158.3925054,166.977539,132.1765875,166.6142478,168.8352912,170.6217996,127.65
2018-02-28,156.7158207,158.6931136,165.8786104,131.3612418,161.9434918,166.8758002,161.9290239,125
2018-03-31,159.5291981,161.2773016,168.8898584,131.7157565,163.812358,165.8704103,161.9700948,125.79
2018-04-30,157.8227705,159.8239462,167.2043587,131.3203389,164.9148072,165.9557109,164.2696589,124.59
2018-05-31,158.8902201,160.966671,168.0671841,131.8692802,165.7214457,165.1973543,163.1594634,123.1
2018-06-30,162.604484,164.41766,168.2145166,131.6551879,160.3111719,165.1838385,157.3600324,118.65
2018-07-31,163.1485098,164.8916902,167.8869869,132.2534243,156.5780083,166.9045988,155.7565041,115.99
2018-08-31,170.5939969,171.1984427,167.9348307,132.9051301,161.3519152,168.2819314,160.4430245,113.51
2018-09-30,169.3511321,170.3454707,166.2463875,132.7085163,162.0792037,168.5907117,161.5383722,112.76
2018-10-31,173.585018,173.7909004,164.7488596,131.9738252,144.5268096,166.1435764,139.1392964,115.15
2018-11-30,178.0065521,177.9073514,165.4176024,132.0575172,150.0985776,165.5585468,144.8237679,115.54
2018-12-31,179.8929832,180.3540073,169.6151254,133.3900604,148.3319466,163.2538294,138.1210395,121.25
2019-01-31,178.0879397,179.1372034,172.7896178,134.7271336,153.1751334,170.028571,148.3767547,124.75
2019-02-28,178.0976957,179.3055767,172.505121,135.1173359,155.0074674,172.6145041,150.3647045,123.99
